Проблема;Наименование мероприятий;Митигационный эффект;Адаптационный эффект;Наименование района;Агроклиматические условия района;Ответственная организация;Источник;;;;;;;;;;;;;;;;;;
Деградация почв и утрата биоразнообразия;MONTADO-ADAPT – Integrated Dehesa Management System (IDMS) на пилотной территории Finca Casablanca (Альентежу, Португалия / Эстремадура и Андалусия, Испания);Увеличение углеродного секвестра в почве и древесной биомассе, сохранение биоразнообразия, повышение устойчивости экосистемы к деградации;Восстановление и диверсификация растительного покрова, улучшение пастбищных угодий, сохранение водных ресурсов, повышение устойчивости агролесоводческих систем к засухе и экстремальным температурным условиям, поддержка биоразнообразия и экосистемных услуг;Oliva de Plasencia, C?ceres (Испания);"Среднегодовая температура — около 15-16 °C (на равнинных частях), на холмах чуть ниже. Сезонные средние: зима ? +6-9 °C, весна ? +13-16 °C, лето ? +30-32 °C, осень ? +16-20 °C. Безморозный период — примерно 240-260 дней, может быть меньше на высотах холмов. Годовое количество осадков — ~ 600-700 мм, с максимумом весной и осенью; лето сухое, но периодически возможны грозы. Средняя влажность — около 60-75 %, летом днём снижается, ночью повышается; зимой высокая. Почвы — в де?еза типичных: дерновые, карбонатные, аллювиально-глинистые, с некоторым составом суглинка; участки с деревьями имеют более выраженный гумус; подлесок и луга; пористые, но склонные к деградации без растительности. Рельеф: холмистый, равнины и плато; возвышенности до ~600-800 м; леса и пастбища смешанные; наличие тепличных и поливных участков. Климат — средиземноморский с сухим жарким летом; умеренно влажный межсезонный период. Риски: деградация почв (эрозия, истощение гумуса); водный стресс в засушливый период; сильная жара; потеря биоразнообразия; засоление почв; снижение продуктивности пастбищ и агролесоводческих систем; риски лесных пожаров.";Совет директоров группы Casablanca-C?parra, участники проекта Life Montado-Adapt;https://adaptecca.es/en/casos-practicos/montado-adapt-integrated-dehesa-management-system-pilot-area-l5-finca-casablanca;;;;;;;;;;;;;;;;;;
Перегрев зданий и высокая энергоёмкость жилья;Использование локальных и органических материалов в строительстве (волокна Posidonia oceanica, известковый бетон, переработанные паллеты), пассивное проектирование зданий, системы солнечного и биомассового отопления, энергосбережение и водосбережение;Снижение выбросов CO? на 50% при строительстве, снижение энергопотребления на 75% за жизненный цикл здания, сокращение потребления воды на 60%, уменьшение образования отходов на 50%;Повышение термического комфорта в зданиях, использование естественной вентиляции и солнечного освещения, снижение зависимости от импортных материалов, повышение устойчивости зданий к климатическим условиям островов;Балеарские острова, Испания;"Среднегодовая температура — около 18-19 °C. Сезонные средние: зима ? +11-14 °C, весна ? +15-19 °C, лето ? +26-30 °C, осень ? +20-24 °C. Безморозный период — ~ 320-350 дней (морской климат, морозы крайне редки). Годовое количество осадков — ? 400-550 мм; максимум осадков в осень-зиму; летом почти сухо. Средняя влажность — около 70-80 %, особенно в зимние и межсезонные месяцы; летом днём ниже, ночью высокая. Почвы — тонкие карбонатные, каменистые, с малым слоем плодородной органики, в низинах — более суглинистые и плодородные участки. Рельеф: островной, холмистый и гористый в центральных частях, прибрежные равнины; высоты от 0 до ~400-800 м в зависимости от острова. Климат — средиземноморский (тип Csa по классификации Кёппена). Ключевые риски: перегрев зданий; потребность в кондиционировании; дефицит воды в сухие месяцы; воздействие морской соли; интенсивные осадки осенью, риск затоплений; эрозия тонких почв; повышение солнечной радиации; возможное усиление штормов и волнений при побережье.";Balearic Housing Institute (IBAVI), Directorate General of Energy and Climate Change of the Balearic Islands;https://adaptecca.es/en/casos-practicos/life-reusing-posidonia-project;;;;;;;;;;;;;;;;;;
Наводнения и дефицит водных ресурсов урбанизированной среды;Создание городского наводненного парка «La Marjal» с системой временного хранения дождевой воды, переработка дождевой воды для орошения, создание зеленых зон и биоразнообразных ландшафтов;Снижение экологического воздействия строительства, использование вторичных материалов, предотвращение новых сбросов сточных вод;Снижение риска наводнений в низинных районах, временное накопление избыточной дождевой воды, улучшение водного баланса, создание устойчивых зеленых общественных пространств, поддержка биоразнообразия;Аликанте, Испания;"Среднегодовая температура — приблизительно 18-19 °C. Сезонные средние: зима ? +12-14 °C, весна ? +15-19 °C, лето ? +30-33 °C, осень ? +20-24 °C. Безморозный период — около 300-320 дней. Годовое количество осадков — ~ 400-500 мм, максимум осадков — осень и весна; лето жаркое и засушливое. Средняя влажность — ? 60-75 %, летом днём низкая, ночью — выше; зимой и межсезонье влажность выше. Почвы — в городской зоне часто нарушенные, суглинистые и глинистые, с плохой дренажной способностью; в парковой зоне — аллювиальные, органические смешения, возможно заболоченные участки. Рельеф: прибрежная низина, близость к морю (<100-200 м над уровнем моря), ровные участки с лёгким наклоном; урбанизированный ландшафт с императивами дренажа. Климат — средиземноморский с жарким сухим летом, мягкой влажной зимой. Ключевые риски: городские наводнения при интенсивных ливнях; перегрев среды; дефицит поглощения дождевой воды; затопление улиц; загрязнение сточных стоками; стресс растений в озеленённых средах; истощение дренажных систем.";City Council of Alicante, Aguas de Alicante;https://adaptecca.es/en/casos-practicos/urban-flood-park-la-marjal-0;;;;;;;;;;;;;;;;;;
Деградация почв и утрата биоразнообразия;Внедрение интегрированной системы управления деесой (IDMS): восстановление и диверсификация древесного покрова, посадка местных растений, улучшение пастбищ, повышение водоудерживающей способности, создание искусственных водоемов и биоразнообразных участков, развитие агроэкотуризма и новых экопродуктов;Увеличение секвестрации углерода, снижение воздействия интенсивного земледелия, повышение устойчивости агроэкосистем к изменениям климата;Повышение устойчивости деесы к засухам и экстремальной жаре, улучшение качества и количества кормов для скота, сохранение биоразнообразия, устойчивость почв и водных ресурсов, диверсификация доходов;Oliva de Plasencia, C?ceres, Испания;"Среднегодовая температура — около 15-16 °C. Сезонные средние: зима ? +6-9 °C, весна ? +13-16 °C, лето ? +30-32 °C, осень ? +16-20 °C. Безморозный период — примерно 240-260 дней, может уменьшаться на холмах. Годовое количество осадков — ~ 600-700 мм; весна и осень — более влажные сезоны, лето засушливое. Средняя влажность — около 60-75 %, летом днём понижается, ночью поднимается; зимой и межсезонье высокая. Почвы — в типичной дехеза смешанные: аллювиальные на равнинах, карбонатные и щелочные; суглинистые участки; на холмах — более тонкий гумусный слой; лесные и пастбищные участки с агролесоводством. Рельеф: холмистый, равнины и плато; высоты примерно 400-800 м над уровнем моря; смешанный ландшафт с лесами, пастбищами и аграрными полями. Климат — средиземноморский с полузасушливыми чертами летом, умеренно влажный межсезонье. Ключевые риски: деградация почв (эрозия, истощение питательных веществ); водный стресс в засушливый период; лесные пожары; снижение биоразнообразия; истощение кормовой базы; засоление; утрата водоудерживающей способности ландшафта.";Casablanca-C?parra Group, Life Montado-Adapt Project;https://adaptecca.es/en/casos-practicos/montado-adapt-integrated-dehesa-management-system-pilot-area-l5-finca-casablanca;;;;;;;;;;;;;;;;;;
Сохранение среды обитания амфибий и водных биотопов;Сохранение, восстановление и создание водоёмов для амфибий, включая ограждения существующих прудов, создание новых естественных бассейнов и экз-ситу разведение личинок;"Повышение устойчивости экосистем и сохранение биоразнообразия; косвенное улучшение водного управления";Обеспечение среды обитания для амфибий, повышение видового разнообразия, укрепление экологической устойчивости к изменениям климата;Montes de Valsa?n, Сеговия, Испания;"Среднегодовая температура — около 10-12 °C (в горах, зависит от высоты). Сезонные средние: зима ? 0-4 °C (высокие участки могут быть холоднее), весна ? +8-12 °C, лето ? +18-22 °C в горной тени, осень ? +8-14 °C. Безморозный период — около 150-180 дней, сокращённый выше в горах. Годовое количество осадков — примерно 800-1 200 мм или выше в зависимости от гор (ветровые стороны); снег в зимний сезон; туман. Средняя влажность — высокая, ? 75-90 % особенно в зимний и межсезонный периоды, летом относительно ниже, но ночью влажность остаётся ощущаемой. Почвы — горно-лесные, гумусные, кислые, подстилаемые гранитами или гнейсами; участки с глубоким лесным покровом и толстым слоем растительных остатков; пористые, но склонные к вымыванию и эрозии на крутых склонах. Рельеф: среднегорье / горы, высоты варьируются от ~1 000 до ~2 000 м над уровнем моря в Montes de Valsa?n; крутые склоны, глубокие ущелья, лесистые склоны, долины. Климат — высокогорный средиземноморский / переходный, умеренно влажный, с сильными перепадами; характерны холодные зимы, лето прохладнее, межсезонье влажное. Ключевые риски: лесные пожары в сухое лето; эрозия склонов; оползни при сильных осадках; снежные нагрузки в зимний сезон; угрозы для амфибий и видов, зависящих от влажных сред; деградация леса из-за болезней и засух.";Национальная автономная организация парков (OAPN), Centro Montes y Aserradero de Valsa?n;https://adaptecca.es/en/casos-practicos/adaptation-restoration-and-creation-habitats-amphibians-threatened-climate-change-0;;;;;;;;;;;;;;;;;;
Уязвимость муниципалитетов к экстремальным погодным событиям;Интеграция адаптации к изменению климата в территориальное и городское планирование, включая разработку рекомендаций по вентиляции, затенению, водосбору, управлению лесными массивами, зелёными путями и защитой от наводнений;"Снижение выбросов парниковых газов за счёт рационального использования зданий и зелёных зон; оптимизация водопользования";Снижение уязвимости муниципалитетов к экстремальным погодным условиям, повышение устойчивости городской и сельской среды к наводнениям, тепловым волнам и лесным пожарам;Наварра, Испания (пилотные муниципалитеты: Corella, Esteribar, Noain-Valle de Elorz, Villatuerta);"Среднегодовая температура — около 13-15 °C в долинах, чуть ниже в горных частях. Сезонные средние: зима ? +2-6 °C, весна ? +10-14 °C, лето ? +28-32 °C в низинах, +20-25 °C на высотах, осень ? +15-20 °C. Безморозный период — примерно 200-240 дней, в горах короче. Годовое количество осадков — варьируется: от ~ 400-600 мм в низких и внутренних долинах до ~ 700-900 мм в предгорьях; максимум осадков — весна и осень; лето сухое, но грозы возможны. Средняя влажность — ? 60-80 % межсезонье; летом днём может падать до 30-50 %, ночью повышается. Почвы — разнообразные: аллювиальные в долинах, суглинки и глины; на склонах — каменистые, тонкие, кислые или щелочные; участки под лесами; плодородные земли сельского хозяйства. Рельеф: смешанный: равнинные долины, холмы, предгорья; высоты могут быть от ~200 до ~1 200 м над уровнем моря. Климат — средиземноморский с континентальными чертами в летних и межсезонных экстремумах; в горах — более прохладный, влажный. Ключевые риски: тепловые волны; поздние морозы; засуха летом; наводнения при внезапных сильных дождях; деградация почв на склонах; лесные пожары; стресс инфраструктуры при экстремальных погодах; неэффективное планирование может усугублять риски.";Проект EGOKI, Сеть устойчивых муниципалитетов Наварры (NELS), Правительство Наварры;https://adaptecca.es/en/casos-practicos/egoki-integrating-adaptation-climate-change-spatial-and-urban-planning-0;;;;;;;;;;;;;;;;;;
Контроль инвазивного папоротника и снижение риска пожаров;Контроль популяций папоротника Pteridium aquilinum в Кантабрийских горах через выборочную покоску и использование растительных остатков для биоинсектицидов в системе циркулярной экономики;Снижение риска лесных пожаров, использование растительных остатков для производства безопасных инсектицидов, сокращение затрат на управление растительностью;Уменьшение угрозы для лесной экосистемы, контроль инвазивного вида, повышение экологической устойчивости к изменениям климата;Кантабрийские горы, Испания;"Среднегодовая температура — ~ 8-12 °C (в зависимости от высоты и экспозиции). Сезонные средние: зима ? -2-4 °C на вершинах, +5-8 °C на более низких участках; весна ? +6-12 °C; лето ? +15-20 °C; осень ? +8-14 °C. Безморозный период — порядка 120-180 дней, короче на высотах. Годовое количество осадков — от 1 500 до 2 500 мм на северных склонах, на южных — меньше, переменный из-за эффекта горного барьера. Средняя влажность — высокая (? 80-95 %) на северных склонах, чуть ниже на южных и в межсезонье. Почвы — лесные гумусообразующие, кислые, часто подстилаемые глинистыми и кремнистыми породами; на склонах тонкие, под лесом — более глубокие с толстым органическим горизонтом. Рельеф — крутые склоны, высокие пики до ~2 600 м над уровнем моря, обширные ущелья и долины, резко выраженная вертикальная зональность. Климат — умеренно влажный океанический на северных склонах, переходный / субсредиземноморский на южных, сильный орографический эффект. Ключевые природные риски: лесные пожары в засушливые периоды; эрозия склонов при интенсивных дождях; оползни; снежные и морозные явления на высоте; утрата растительного покрова из-за инвазивных видов.";Pteridum Project;https://adaptecca.es/en/casos-practicos/pteridum-project-adaptation-climate-change-cantabrian-mountains-controlling-0;;;;;;;;;;;;;;;;;;
Угроза крупных лесных пожаров и утрата экосистемной устойчивости;LIFE Montserrat Project – силвопасторальное управление для охраны среды обитания и предотвращения крупных лесных пожаров (создание низкозатратных противопожарных полос, восстановление лесов, внедрение системы пастбищного выпаса, формирование агросилвопасторальной мозаики);Снижение вероятности крупных лесных пожаров, уменьшение накопления топлива в лесах;Повышение устойчивости лесов к пожарам, сохранение и восстановление биологического разнообразия, улучшение структуры ландшафта, поддержка экосистемных функций;Горы Монтсеррат и прилегающие территории, провинция Барселона, Испания;"Среднегодовая температура — около 13-14 °C (примерно 740 м над уровнем моря на метеостанции). Сезонные средние: зима ? +5-7 °C, весна ? +11-15 °C, лето ? +22-26 °C, осень ? +13-17 °C. Безморозный период — ~ 220-250 дней (учитывая, что мёрзнет редко, особенно внизу). Годовое количество осадков — около 600-700 мм/год; влажный межсезон и зима, в летний сезон менее дождливо. Средняя влажность — ~ 65-80 %, особенно в межсезонье; летом днём влажность пониже, ночью высокая. Почвы — горно-лесные, с хорошим содержанием органики под лесным покровом; на открытых склонах тонкий слой, склонные к истощению. Рельеф: среднегорье, холмистые участки; высота около 600-800 м; сильный уклон в некоторых участках; влияние морского воздуха и туманов. Климат — средиземноморский с континентальными чертами на высотах; лето умеренно жаркое, зима мягкая, но прохладная ночью. Ключевые природные риски: накопление растительного топлива и риск крупных лесных пожаров; потеря биоразнообразия; деградация лесов; засухи в летние месяцы; эрозия в местах с нарушенным покровом; стресс экосистем при экстремальных температурах.";Ассоциация владельцев лесов Montserrat (APFEM), местные фермерские объединения, органы муниципальной власти 14 муниципалитетов;https://adaptecca.es/en/casos-practicos/life-montserrat-project-silvopastoral-management-habitat-conservation-and-0;;;;;;;;;;;;;;;;;;
Угроза морских лугов Posidonia и береговой эрозии;GESTARR – защита и управление морскими лугами Posidonia oceanica и их выбросами на пляжи (сохранение подводных лугов, контроль за выбросами Posidonia на пляжах, устойчивое управление прибоями);Снижение эрозии береговой линии, удержание песка и питательных веществ;Защита береговой линии от приливов и штормов, поддержка биоразнообразия, укрепление устойчивости пляжей к изменению климата;Санта-Пола и Эль-Кампельо, провинция Аликанте, Испания;"Среднегодовая температура — примерно 18-19 °C прибрежные воды; воздушная средняя температура зимой ? +12-14 °C, весной +15-18 °C, летом +28-30 °C, осень +20-24 °C. Безморозный период — около 300-320 дней (морской климат). Годовое количество осадков воздуха — ~ 400-500 мм, максимум осень / весна; море влажное почти круглый год. Средняя влажность воздуха — ? 65-80 %; воды теплые, стабильные; море важный фактор микроклимата. Почвы прибрежные земли: песчаные пляжи, аллювий, донные отложения морские. Рельеф: прибрежная низина, морское дно с Posidonia лугами, небольшие перепады рельефа на берегу, влияние волн, приливов и прибоя. Климат — средиземноморский морской; морская вода существенно смягчает экстремумы, но наблюдается прогрев моря летом. Ключевые природные риски: эрозия береговой линии; повреждение сеяграссов (Posidonia) из-за потепления воды выше оптимальных температур; утрата лугoв; туризм, якорные стоянки; загрязнение; изменение состава донных осадков; снижение плотности лугoв ? долгий срок восстановления.";Институт прибрежной экологии (IEL), муниципальные власти пляжей;https://adaptecca.es/en/casos-practicos/gestarr-role-posidonia-oceanica-adaptation-coasts-climate-change;;;;;;;;;;;;;;;;;;
Перегрев городских пространств и проживание;myBUILDINGisGREEN LIFE – внедрение природоориентированных решений (зеленые крыши, зеленые фасады, система естественной вентиляции, озеленение школьных дворов и создание тени);Снижение потребления энергии, уменьшение нагрева зданий и воздействий на климат;Снижение температуры внутри зданий, повышение комфорта и здоровья учащихся и персонала, улучшение водопоглощения и биоразнообразия, повышение устойчивости к засухам и тепловым волнам;Солана-де-лос-Баррос, провинция Бадахос, Эстремадура, Испания;"Среднегодовая температура — ? 16-17 °C. Сезонные средние: зима ? +6-9 °C, весна ? +15-18 °C, лето ? +33-36 °C, осень ? +18-22 °C. Безморозный период — около 260-280 дней. Годовое количество осадков — низкое, ~ 350-450 мм, с максимумом в осень и весну. Средняя влажность — ? 50-70 %, летом днём сильная жара и низкая влажность, ночью выше; зимой и межсезонье более влажно. Почвы — аллювиально-глинистые и карбонатные в долинах, более песчаные и тонкие на возвышенностях; улицы и урбанизированные участки имеют нарушенный почвенный покров, уплотнение. Рельеф: равнинные и слегка холмистые участки, высота ~200-500 м над уровнем моря; сильная солнечная радиация; мало естественной зелени; застроенная среда. Климат — средиземноморский жаркий, с выраженным сухим летом; континентальные черты в ночных перепадах; высокая температура в летний пик. Ключевые риски: тепловой стресс в зданиях; перегрев улиц и внутренних пространств; высокое потребление энергии на охлаждение; дефицит зелёных зон и тени; мало природного дренажа; засухи; ухудшение комфорта и здоровья населения.";Проект myBUILDINGisGREEN LIFE, местные школьные администрации;https://adaptecca.es/en/casos-practicos/nature-based-solutions-schools-green-way-adapt-buildings-climate-change-solana-de;;;;;;;;;;;;;;;;;;
кстремальные погодные явления и климатические катастрофы;Страхование чрезвычайных рисков, вызванных изменением климата (через Консорциум страхового возмещения – CCS);Финансовое снижение рисков, связанных с климатическими и гидрометеорологическими событиями, поддержка восстановления после чрезвычайных ситуаций;Повышение устойчивости населения, компаний и инфраструктуры к экстремальным погодным явлениям, улучшение готовности к стихийным бедствиям, стимулирование адаптационных мер через страховые механизмы;Испания (национальный уровень);Среднегодовая температура — около 14–15 °C, варьируется от 10 °C на севере до 18 °C на юге и побережьях. Сезонные средние: зима ? +6 °C, весна ? +13 °C, лето ? +25 °C, осень ? +14 °C. Безморозный период — от 180 до 300 дней в зависимости от региона. Годовое количество осадков — 350–1200 мм, максимум осенью и зимой. Средняя влажность — 50–75 %. Почвы разнообразны: от красно-бурых и известковых на юге до горно-лесных и аллювиальных на севере. Рельеф — гористый (Пиренеи, Кантабрийские горы, Сьерра-Морена) с межгорными равнинами и побережьями. Климат — от океанического на севере до засушливого средиземноморского и полупустынного в юго-восточных районах. Ключевые природные риски: засухи, наводнения, экстремальные температуры, пожары, оползни и ветровые явления.;Консорциум страхового возмещения (CCS), Министерство экономических дел Испании;https://adaptecca.es/en/casos-practicos/coverage-extraordinary-risks-derivables-climate-change-1;;;;;;;;;;;;;;;;;;
Уязвимость городских территорий к климатическим стрессам;Система «Адаптационный компас» для оценки уязвимости городских районов и выбора адаптационных мер;Повышение координации мер между департаментами и секторами, что косвенно способствует снижению риска дополнительных выбросов через эффективное управление ресурсами;Идентификация уязвимых зон, планирование и внедрение адаптационных мер для защиты городской инфраструктуры и населения от последствий изменения климата;Городские районы в пределах разных европейских городов;Среднегодовая температура — 8–13 °C, в зависимости от широты и высоты. Сезонные средние: зима ? +1 °C, весна ? +10 °C, лето ? +20 °C, осень ? +10 °C. Безморозный период — 150–250 дней. Годовое количество осадков — 500–900 мм, умеренно равномерное по сезонам. Средняя влажность — 60–85 %. Почвы — антропогенно изменённые, городские, с низким содержанием органики и дренажной способностью. Рельеф в основном равнинный, локально холмистый. Климат — умеренно континентальный или морской, местами с урбанизационным тепловым эффектом. Основные природные риски: ливни и локальные наводнения, перегрев городов, эрозия почв, загрязнение воздуха и тепловой стресс.;Future Cities Partnership;http://www.future-cities.eu/project/adaptation-compass/;;;;;;;;;;;;;;;;;;
Недостаточная адаптация систем управления к климатическим рискам;Использование Кейс-стади Climate-ADAPT для внедрения адаптационных мер на всех уровнях управления;Повышение эффективности адаптационных действий, что косвенно снижает нагрузку на экосистемы и ресурсы;Укрепление условий для адаптации общества и управления климатическими рисками, улучшение мониторинга, обучения и оценки эффективности мер;Европейский союз (разные страны и регионы);Среднегодовая температура — 7–16 °C, с выраженным градиентом от северных морских до южных субтропических климатов. Сезонные средние: зима ? 0…+6 °C, весна ? +8…+15 °C, лето ? +18…+28 °C, осень ? +8…+16 °C. Безморозный период — 120–300 дней. Годовое количество осадков — 400–1500 мм. Средняя влажность — 60–85 %. Почвы варьируются от подзолистых и суглинистых на севере до краснозёмов и аллювиальных в южных регионах. Рельеф — от равнин Центральной Европы до горных систем Альп и Пиренеев. Климат — морской, умеренно континентальный и средиземноморский. Основные риски: засухи, паводки, штормы, эрозия, таяние снегов, пожары и потеря сельскохозяйственной продуктивности.;Европейское агентство по охране окружающей среды (EEA), European Topic Centre on Climate Change Adaptation and LULUCF;https://climate-adapt.eea.europa.eu/en/knowledge/tools/case-study-explorer;;;;;;;;;;;;;;;;;;
Перегрев городской среды и дефицит влаги;Зелёные крыши и фасады, управление дождевыми водами, создание затенённых игровых зон в школах;Снижение потребления энергии для охлаждения и отопления, увеличение местного биоразнообразия;Снижение температуры внутри зданий, улучшение управления дождевыми стоками, повышение комфорта и безопасности учащихся;Солана-де-лос-Баррос, Бадахос, Эстремадура, Испания;Среднегодовая температура — 16–17 °C. Сезонные средние: зима ? +7 °C, весна ? +17 °C, лето ? +34 °C, осень ? +20 °C. Безморозный период — 260–280 дней. Годовое количество осадков — 350–450 мм, максимум весной и осенью. Средняя влажность — 50–70 %, летом падает до 30–40 %. Почвы — аллювиальные, глинистые, слабо дренированные. Рельеф — равнинный, высота около 300 м над уровнем моря. Климат — континентально-средиземноморский, с жарким сухим летом. Основные риски: тепловые волны, засухи, дефицит тени и влаги в городской среде, сильная солнечная радиация.;myBUILDINGisGREEN LIFE Project;https://adaptecca.es/en/casos-practicos/nature-based-solutions-schools-green-way-adapt-buildings-climate-change-solana-de;;;;;;;;;;;;;;;;;;
Повышенный риск наводнений и деградации экосистем;Грин-скреперы, защита от наводнений, природные страховочные системы для сельского хозяйства, экономическое оценивание экосистем;Снижение локальных выбросов CO? за счёт уменьшения потребности в кондиционировании и отоплении, а также стимулирование устойчивого использования ресурсов;Охлаждение урбанизированных территорий, уменьшение риска наводнений, поддержка продовольственной безопасности, укрепление экосистем и биоразнообразия;Осло (Норвегия), Нидерланды, Пиракуара (Бразилия), Африка (сельскохозяйственные регионы);"Среднегодовая температура: Осло — 6 °C, зима ? –4 °C, лето ? +18 °C; Нидерланды — 10 °C, зима ? +3 °C, лето ? +17 °C; Пиракуара — 17 °C, зима ? +12 °C, лето ? +23 °C; Африка (сельхозрегионы) — 20–27 °C, лето ? +30 °C, зима ? +18 °C. Безморозный период — от 150 до 365 дней. Осадки: 700–1800 мм/год (в Африке возможны сильные сезонные контрасты). Средняя влажность — 65–85 %. Почвы — от дерново-подзолистых и аллювиальных до краснозёмов и ферраллитных. Рельеф — от равнин и пойм до горных долин. Климат — от морского умеренного до тропического влажного. Основные риски: наводнения, эрозия, засухи, дефицит воды, деградация экосистем и перегрев городских территорий.";Муниципалитеты, национальные органы власти, частные и международные партнёры по внедрению климатических мер;https://www.miljodirektoratet.no/publikasjoner/2014/mars-2014/gode-eksempler-pa-tilpasningstiltak/;;;;;;;;;;;;;;;;;;
Риск наводнений и перегрева городской инфраструктуры;Включение требований климатической адаптации в муниципальные закупки и проектные задания;Снижение косвенных выбросов через оптимизацию планирования и использование ресурсов, предотвращение дорогостоящих переделок;Снижение рисков высоких температур внутри помещений и наводнений за счёт учёта изменённого климата на ранних стадиях проектов;Норрчёпинг (Швеция);Среднегодовая температура — 7 °C. Сезонные средние: зима ? –2 °C, весна ? +7 °C, лето ? +18 °C, осень ? +8 °C. Безморозный период — 180–200 дней. Годовое количество осадков — 550–600 мм, максимум летом и осенью. Средняя влажность — 75–85 %. Почвы — моренные, суглинистые, с хорошим дренажем. Рельеф — равнинный с холмами, высота около 40 м над уровнем моря. Климат — умеренно континентальный с морским влиянием. Основные риски: паводки, высокие уровни рек, переувлажнение почв, тепловые волны в городах.;Муниципалитет Норрчёпинга, SMHI, Университет Линчёпинга;https://klimatanpassning.se/nyheter/nyhetsarkiv/2025-09-24-kommunen-som-tanker-klimatanpassning-i-upphandlingar;;;;;;;;;;;;;;;;;;
